ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_status,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,fator_nome,fator_aspecto,fator_condicionante,fator_area,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario
INCIDENTE,FOZ DO IGUAÇU,PR,BRASIL,***,11/06/2018,17:20:00,FINALIZADA,1,NÃO,PROCT,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,78000,78000,172.0,2015.0,BRASIL,BRASIL,AVIÃO,REGULAR,CATARATAS,GOVERNADOR ANDRÉ FRANCO MONTORO,SUBIDA,REGULAR,LEVE,0,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,,,,,,,,
INCIDENTE GRAVE,IBITINGA,SP,BRASIL,SDIG,11/06/2022,11:00:00,FINALIZADA,1,SIM,PTWHU,AVIÃO,CESSNA AIRCRAFT,170B,C170,PISTÃO,MONOMOTOR,998,998,4.0,1952.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,IBITINGA,IBITINGA,CORRIDA APÓS POUSO,PRIVADA,LEVE,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
ACIDENTE,TERESINA,PI,BRASIL,SBTE,11/06/2023,14:10:00,ATIVA,1,NÃO,PTDLO,AVIÃO,BEECH AIRCRAFT,A36,BE36,PISTÃO,MONOMOTOR,1632,1632,6.0,1970.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,REDENÇÃO,NOSSA SENHORA DE FÁTIMA,RETA FINAL,PRIVADA,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE,NAVEGANTES,SC,BRASIL,SBNF,11/06/2023,22:00:00,FINALIZADA,1,NÃO,PSGPM,AVIÃO,BOEING COMPANY,B378,***,,***,82644,82644,,0.0,BRASIL,BRASIL,AVIÃO,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,MINISTRO VICTOR KONDER,INDETERMINADA,REGULAR,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
ACIDENTE,NOVO PROGRESSO,PA,BRASIL,***,11/07/2007,10:30:00,FINALIZADA,1,NÃO,PTLQH,AVIÃO,CESSNA AIRCRAFT,210N,C210,PISTÃO,MONOMOTOR,1725,1725,6.0,1984.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,DESTRUÍDA,1,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,CURITIBA,PR,BRASIL,SBCT,11/07/2007,00:00:00,,1,NÃO,PPGOL,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1993.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,INSTRUÇÃO,***,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE,NÃO IDENTIFICADA,CE,BRASIL,***,11/07/2007,09:50:00,,1,NÃO,PRGLM,AVIÃO,BOEING COMPANY,737-322,B733,JATO,BIMOTOR,61234,61234,151.0,1990.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
INCIDENTE,BRASÍLIA,DF,BRASIL,SBBR,11/07/2008,09:30:00,,1,NÃO,PRMHP,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2007.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,REGULAR,***,0,COLISÃO DE VEÍCULO COM AERONAVE,OUTROS | COLISÃO DE VEÍCULO COM AERONAVE,OTHR,,,,,,,,
INCIDENTE GRAVE,CAMPOS DOS GOYTACAZES,RJ,BRASIL,***,11/07/2008,13:13:00,FINALIZADA,1,NÃO,PRLCE,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2004.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,SÃO TOMÉ,CRUZEIRO,TÁXI AÉREO,LEVE,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Determinar aos operadores de aeronaves SIKORSKY, modelos S-76A e S-76C, a realização de inspeção no componente *ENGINE SHAFT FLEXIBLE COUPLING*, P/N 76361-04008-103 ou 76361-04008-102, de acordo com o Capítulo 5, Seção 5-20-00, Parágrafo 3, Página 46, do Manual P/N SA 4047-76C-2-1 (Rev 31/MAR/2008). Caso seja encontrada qualquer discrepância, o CENIPA, a GGIP e o SERIPA da região do operador deverão ser informados.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE GRAVE,GUARULHOS,SP,BRASIL,SBGR,11/07/2008,18:18:00,FINALIZADA,1,NÃO,PROAF,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,44450,107.0,1992.0,BRASIL,BRASIL,AVIÃO,REGULAR,PRESIDENTE JUSCELINO KUBITSCHEK,GOVERNADOR ANDRÉ FRANCO MONTORO,POUSO,REGULAR,LEVE,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.",ADOTADA DE FORMA ALTERNATIVA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,SBGL,11/07/2009,13:53:00,,1,NÃO,PRMBH,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,77000,166.0,2006.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
INCIDENTE,OLINDA,PE,BRASIL,***,11/07/2010,11:50:00,FINALIZADA,1,NÃO,PTYZK,HELICÓPTERO,BELL HELICOPTER,407,B407,TURBOEIXO,MONOMOTOR,2268,2268,7.0,1999.0,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,GUARARAPES - GILBERTO FREYRE,FORA DE AERODROMO,DECOLAGEM,POLICIAL,LEVE,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Divulgar os ensinamentos colhidos na presente investigação aos operadores policiais, alertando-os para os riscos presentes nas operações ocasionais, principalmente quando se tratar de acionamentos de emergência e ou operações policiais.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,OSASCO,SP,BRASIL,***,11/07/2011,13:35:00,FINALIZADA,1,NÃO,PTHVK,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,622,622,2.0,1990.0,BRASIL,BRASIL,HELICÓPTERO,INSTRUÇÃO,CAMPO DE MARTE - SP,CAMPO DE MARTE - SP,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,,,,,,,,
INCIDENTE GRAVE,LONDRINA,PR,BRASIL,***,11/07/2011,18:30:00,FINALIZADA,1,SIM,PPGMG,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1992.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
ACIDENTE,SÃO PAULO,SP,BRASIL,***,11/07/2012,13:17:00,FINALIZADA,1,NÃO,PTHOL,HELICÓPTERO,ROBINSON HELICOPTER,R22,R22,PISTÃO,MONOMOTOR,590,590,2.0,1992.0,BRASIL,BRASIL,HELICÓPTERO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,DESTRUÍDA,2,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Implementar medidas de fiscalização de forma a assegurar que as oficinas executantes de revisão geral em células e grandes componentes dos helicópteros modelos R-22 e R-44, estejam empregando adequadamente os produtos especificados pelos fabricantes, com destaque para a remoção de tinta e da aplicação de primers utilizados em junções, notadamente entre os PN A166-1 e PN A907-4.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,SÃO PAULO,SP,BRASIL,SBMT,11/07/2012,19:50:00,FINALIZADA,1,NÃO,PRVLC,AVIÃO,BEECH AIRCRAFT,95-B55,BE55,PISTÃO,BIMOTOR,2313,2313,6.0,1972.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,NENHUM,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,,,,,,,,
INCIDENTE,SÃO PAULO,SP,BRASIL,SBMT,11/07/2013,17:15:00,FINALIZADA,1,NÃO,PTNXS,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1157,4.0,1980.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,NENHUM,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE GRAVE,MARANGUAPE,CE,BRASIL,***,11/07/2014,13:00:00,FINALIZADA,1,NÃO,PPDSZ,AVIÃO,CESSNA AIRCRAFT,170,C170,PISTÃO,MONOMOTOR,998,998,4.0,0.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,PINTO MARTINS,URUBA,CRUZEIRO,PRIVADA,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,SDRE,11/07/2014,21:50:00,FINALIZADA,1,NÃO,PRMPT,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,1134,4.0,2011.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
ACIDENTE,DIVINÓPOLIS,MG,BRASIL,SNDV,11/07/2015,16:14:00,,1,NÃO,PUJCA,ULTRALEVE,***,P 92 ECHO,ULAC,PISTÃO,MONOMOTOR,499,499,2.0,1998.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,BRIGADEIRO CABRAL,BRIGADEIRO CABRAL,DECOLAGEM,PRIVADA,DESTRUÍDA,1,INDETERMINADO,INDETERMINADO,UNK,,,,,,,,
INCIDENTE,SÃO PAULO,SP,BRASIL,SBSP,11/07/2015,16:51:00,FINALIZADA,1,NÃO,PTVTG,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2000.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,BACACHERI,CONGONHAS,TÁXI,TÁXI AÉREO,NENHUM,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE,GUARULHOS,SP,BRASIL,SBGR,11/07/2015,04:22:00,FINALIZADA,1,NÃO,PRIOC,AVIÃO,BOEING COMPANY,727-264,B722,JATO,TRIMOTOR,88360,88360,5.0,1983.0,BRASIL,BRASIL,AVIÃO,REGULAR,PINTO MARTINS,GOVERNADOR ANDRÉ FRANCO MONTORO,TÁXI,REGULAR,LEVE,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,,,,,,,,
ACIDENTE,BARRETOS,SP,BRASIL,***,11/07/2017,20:10:00,FINALIZADA,1,NÃO,PTAOM,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,,2014.0,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE,PORTO ALEGRE,RS,BRASIL,SBPA,11/07/2017,03:10:00,FINALIZADA,1,NÃO,PRTTO,AVIÃO,BOEING COMPANY,727-2M7,B722,JATO,TRIMOTOR,92124,92124,3.0,1976.0,BRASIL,BRASIL,AVIÃO,REGULAR,SALGADO FILHO,GOVERNADOR ANDRÉ FRANCO MONTORO,SAÍDA IFR,REGULAR,NENHUM,0,VAZAMENTO DE OUTROS FLUIDOS,OUTROS | VAZAMENTO DE OUTROS FLUIDOS,OTHR,,,,,,,,
INCIDENTE GRAVE,PIRACICABA,SP,BRASIL,SDPW,11/07/2020,19:50:00,FINALIZADA,2,NÃO,PUGIZ,AVIÃO,ERICO BROSSI,RÉPLICA J3,***,***,SEM TRAÇÃO,700,700,0.0,0.0,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,PEDRO MORGANTI,PEDRO MORGANTI,INDETERMINADA,EXPERIMENTAL,LEVE,0,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,,,,,,,,
ACIDENTE,BIRITIBA-MIRIM,SP,BRASIL,SDIH,11/07/2020,20:15:00,FINALIZADA,1,NÃO,*****,***,FABRICANTE DESCONHECIDO,MODELO DESCONHECIDO,***,***,***,0,0,,,BRASIL,BRASIL,***,***,FAZENDA IROHY,FAZENDA IROHY,DECOLAGEM,***,SUBSTANCIAL,1,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,,,,,,,,
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,SBRJ,11/07/2021,16:35:00,FINALIZADA,1,NÃO,PRAXG,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,52290,125.0,2012.0,BRASIL,BRASIL,AVIÃO,REGULAR,SANTOS DUMONT,CONGONHAS,SUBIDA,REGULAR,NENHUM,0,OUTROS,OUTROS,OTHR,,,,,,,,
INCIDENTE,RIBEIRÃO PRETO,SP,BRASIL,SBRP,11/07/2021,20:43:00,FINALIZADA,1,NÃO,PRZVO,AVIÃO,FLYER IND. AERONÁUTICA LTDA,RV-10,ZZZZ,PISTÃO,MONOMOTOR,1224,1224,4.0,2018.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,CATALÃO,LEITE LOPES,POUSO,PRIVADA,NENHUM,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE,SANTARÉM,PA,BRASIL,SBSN,11/07/2021,21:30:00,FINALIZADA,1,NÃO,PTLPP,AVIÃO,CESSNA AIRCRAFT,550,C550,JATO,BIMOTOR,6033,6033,10.0,1980.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,VAL DE CANS / JÚLIO CEZAR RIBEIRO,MAESTRO WILSON FONSECA,CRUZEIRO,PRIVADA,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
ACIDENTE,CONQUISTA D'OESTE,MT,BRASIL,***,11/07/2022,19:30:00,FINALIZADA,1,NÃO,N2214R,AVIÃO,CESSNA AIRCRAFT,T210H,***,***,SEM TRAÇÃO,0,0,0.0,1968.0,ESTADOS UNIDOS,ESTADOS UNIDOS,AVIÃO,***,NÃO IDENTIFICADO,NÃO IDENTIFICADO,***,***,SUBSTANCIAL,1,INDETERMINADO,INDETERMINADO,UNK,,,,,,,,
INCIDENTE GRAVE,ALTO SANTO,CE,BRASIL,***,11/07/2023,13:15:00,FINALIZADA,1,NÃO,PTIGB,AVIÃO,CESSNA AIRCRAFT,182C,C182,PISTÃO,MONOMOTOR,1270,1270,4.0,1960.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,SOUSA,CATULEVE,CRUZEIRO,PRIVADA,LEVE,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE,BIRIGUI,SP,BRASIL,SJWQ,11/07/2023,19:52:00,FINALIZADA,1,NÃO,PPGBY,AVIÃO,AERO BOERO,AB-180,AB18,PISTÃO,MONOMOTOR,844,844,2.0,1991.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,COMANDANTE MUNIR DJABAK,COMANDANTE MUNIR DJABAK,POUSO,INSTRUÇÃO,LEVE,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
INCIDENTE,SALVADOR,BA,BRASIL,***,11/08/2010,12:52:00,FINALIZADA,1,NÃO,PPPTN,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,22500,73.0,2008.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE GRAVE,BELO HORIZONTE,MG,BRASIL,SBPR,11/08/2011,13:01:00,FINALIZADA,1,NÃO,PTCNG,AVIÃO,CESSNA AIRCRAFT,150F,C150,PISTÃO,MONOMOTOR,726,726,2.0,1966.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,CARLOS PRATES,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
ACIDENTE,AMAJARI,RR,BRASIL,***,11/08/2011,17:00:00,FINALIZADA,1,NÃO,PTXCG,AVIÃO,CESSNA AIRCRAFT,U206G,C206,PISTÃO,MONOMOTOR,1633,1633,6.0,1981.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0,POUSO LONGO,EXCURSÃO DE PISTA | POUSO LONGO,RE,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Atuar junto à Roraima Táxi-Aéreo, a fim de que sejam efetuadas reuniões periódicas com os pilotos, visando abordar dificuldades encontradas na operação em localidades com maior grau de risco e reavaliar os Manuais de Operação da empresa, no que se refere à clareza do texto e aspectos operacionais estabelecidos.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,TERESINA,PI,BRASIL,***,11/08/2013,19:24:00,FINALIZADA,1,NÃO,PTVDL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1986.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE GRAVE,CURITIBA,PR,BRASIL,SBBI,11/08/2014,11:15:00,FINALIZADA,1,NÃO,PPGBK,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1991.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,BACACHERI,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,RIBEIRÃO PRETO,SP,BRASIL,SBRP,11/08/2014,16:37:00,FINALIZADA,1,NÃO,PREJQ,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1982.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0,OUTROS,OUTROS,OTHR,,,,,,,,
INCIDENTE,RIBEIRÃO PRETO,SP,BRASIL,SBRP,11/08/2014,19:49:00,FINALIZADA,1,NÃO,PURAK,ULTRALEVE,AEROBRAVO LTDA,BRAVO 700,ULAC,PISTÃO,MONOMOTOR,550,550,2.0,2012.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,ESPERA,EXPERIMENTAL,NENHUM,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
ACIDENTE,CAMPINAS,SP,BRASIL,SDAM,11/08/2014,20:52:00,FINALIZADA,1,NÃO,PTLZL,AVIÃO,MOONEY AIRCRAFT,M20K,M20T,PISTÃO,MONOMOTOR,1315,1315,4.0,1989.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,PERCEPÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,,,,
ACIDENTE,CAMPINAS,SP,BRASIL,SDAM,11/08/2015,16:45:00,FINALIZADA,1,SIM,PRSTW,AVIÃO,BEECH AIRCRAFT,C17L,BE17,PISTÃO,MONOMOTOR,1430,1430,4.0,1936.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,DR. JOSÉ DE ARRUDA BOTELHO,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
INCIDENTE GRAVE,JUNDIAÍ,SP,BRASIL,SBJD,11/08/2015,12:20:00,FINALIZADA,1,SIM,PREJI,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,759,759,2.0,1980.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,Comandante Rolim Adolfo Amaro,Comandante Rolim Adolfo Amaro,ARREMETIDA NO SOLO,INSTRUÇÃO,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,MACAÉ,RJ,BRASIL,SBME,11/08/2016,17:47:00,FINALIZADA,1,NÃO,PTVLM,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1989.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,CRISTIANO FERREIRA VARELLA,MACAÉ,POUSO,PRIVADA,LEVE,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE GRAVE,JANUÁRIA,MG,BRASIL,SNJN,11/08/2016,19:00:00,FINALIZADA,1,NÃO,PRCOB,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1974.0,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,JANUÁRIA,POUSO,POLICIAL,SUBSTANCIAL,0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,,,,,,,,
